region,category,parameter,mode,powertrain,year,unit,value
Chile,Historical,EV stock,Cars,BEV,2014,,19
Chile,Historical,EV stock,Cars,PHEV,2014,,14
Chile,Historical,EV stock,Cars,BEV,2015,,32
Chile,Historical,EV stock,Cars,PHEV,2015,,37
Chile,Historical,EV stock,Cars,BEV,2016,,54
Chile,Historical,EV stock,Cars,PHEV,2016,,46
Chile,Historical,EV stock,Cars,BEV,2017,,172
Chile,Historical,EV stock,Cars,PHEV,2017,,61
Chile,Historical,EV stock,Cars,BEV,2018,,281
Chile,Historical,EV stock,Cars,PHEV,2018,,129
Chile,Historical,EV stock,Cars,BEV,2019,,428
Chile,Historical,EV stock,Cars,PHEV,2019,,214
Chile,Historical,EV stock,Cars,BEV,2020,,540
Chile,Historical,EV stock,Cars,PHEV,2020,,293
China,Historical,EV stock,Cars,BEV,2010,,1569.33203125
China,Historical,EV stock,Cars,PHEV,2010,,340
China,Historical,EV stock,Cars,BEV,2011,,6319.33203125
China,Historical,EV stock,Cars,PHEV,2011,,660
China,Historical,EV stock,Cars,BEV,2012,,15959.33203125
China,Historical,EV stock,Cars,PHEV,2012,,920
China,Historical,EV stock,Cars,BEV,2013,,30569.33203125
China,Historical,EV stock,Cars,PHEV,2013,,1650
China,Historical,EV stock,Cars,BEV,2014,,59400
China,Historical,EV stock,Cars,PHEV,2014,,25915.19921875
China,Historical,EV stock,Cars,BEV,2015,,206119
China,Historical,EV stock,Cars,PHEV,2015,,86578.203125
China,Historical,EV stock,Cars,BEV,2016,,463119
China,Historical,EV stock,Cars,PHEV,2016,,165578.203125
China,Historical,EV stock,Cars,BEV,2017,,931119
China,Historical,EV stock,Cars,PHEV,2017,,276578.1875
China,Historical,EV stock,Cars,BEV,2018,,1746989
China,Historical,EV stock,Cars,FCEV,2018,,1527
China,Historical,EV stock,Cars,PHEV,2018,,541800
China,Historical,EV stock,Cars,BEV,2019,,2581186
China,Historical,EV stock,Cars,FCEV,2019,,4264
China,Historical,EV stock,Cars,PHEV,2019,,767900
China,Historical,EV stock,Cars,BEV,2020,,3512477
China,Historical,EV stock,Cars,FCEV,2020,,5446
China,Historical,EV stock,Cars,PHEV,2020,,996191
Denmark,Historical,EV stock,Cars,BEV,2010,,59
Denmark,Historical,EV stock,Cars,PHEV,2010,,20
Denmark,Historical,EV stock,Cars,BEV,2011,,481
Denmark,Historical,EV stock,Cars,PHEV,2011,,20
Denmark,Historical,EV stock,Cars,BEV,2012,,974
Denmark,Historical,EV stock,Cars,PHEV,2012,,31
Denmark,Historical,EV stock,Cars,BEV,2013,,1279
Denmark,Historical,EV stock,Cars,PHEV,2013,,37
Denmark,Historical,EV stock,Cars,BEV,2014,,2616
Denmark,Historical,EV stock,Cars,PHEV,2014,,124
Denmark,Historical,EV stock,Cars,BEV,2015,,7509
Denmark,Historical,EV stock,Cars,FCEV,2015,,37
Denmark,Historical,EV stock,Cars,PHEV,2015,,483
Denmark,Historical,EV stock,Cars,BEV,2016,,8267
Denmark,Historical,EV stock,Cars,FCEV,2016,,68
Denmark,Historical,EV stock,Cars,PHEV,2016,,665.260009765625
Denmark,Historical,EV stock,Cars,BEV,2017,,8766
Denmark,Historical,EV stock,Cars,FCEV,2017,,83
Denmark,Historical,EV stock,Cars,PHEV,2017,,1774
Denmark,Historical,EV stock,Cars,BEV,2018,,10039
Denmark,Historical,EV stock,Cars,FCEV,2018,,88
Denmark,Historical,EV stock,Cars,PHEV,2018,,5167
Denmark,Historical,EV stock,Cars,BEV,2019,,15506
Denmark,Historical,EV stock,Cars,FCEV,2019,,96
Denmark,Historical,EV stock,Cars,PHEV,2019,,9861
Denmark,Historical,EV stock,Cars,BEV,2020,,31892
Denmark,Historical,EV stock,Cars,FCEV,2020,,117
Denmark,Historical,EV stock,Cars,PHEV,2020,,29718
Finland,Historical,EV stock,Cars,BEV,2011,,56
Finland,Historical,EV stock,Cars,BEV,2012,,109
Finland,Historical,EV stock,Cars,PHEV,2012,,128
Finland,Historical,EV stock,Cars,BEV,2013,,169
Finland,Historical,EV stock,Cars,PHEV,2013,,296
Finland,Historical,EV stock,Cars,BEV,2014,,360
Finland,Historical,EV stock,Cars,PHEV,2014,,569
Finland,Historical,EV stock,Cars,BEV,2015,,614
Finland,Historical,EV stock,Cars,PHEV,2015,,973
Finland,Historical,EV stock,Cars,BEV,2016,,844
Finland,Historical,EV stock,Cars,PHEV,2016,,2441
Finland,Historical,EV stock,Cars,BEV,2017,,1449
Finland,Historical,EV stock,Cars,PHEV,2017,,5719
Finland,Historical,EV stock,Cars,BEV,2018,,2404
Finland,Historical,EV stock,Cars,FCEV,2018,,1
Finland,Historical,EV stock,Cars,PHEV,2018,,13095
Finland,Historical,EV stock,Cars,BEV,2019,,4661
Finland,Historical,EV stock,Cars,FCEV,2019,,1
Finland,Historical,EV stock,Cars,PHEV,2019,,24704
Finland,Historical,EV stock,Cars,BEV,2020,,9697
Finland,Historical,EV stock,Cars,FCEV,2020,,1
Finland,Historical,EV stock,Cars,PHEV,2020,,45621
France,Historical,EV stock,Cars,BEV,2010,,304
France,Historical,EV stock,Cars,BEV,2011,,2934
France,Historical,EV stock,Cars,PHEV,2011,,96.16000366210938
France,Historical,EV stock,Cars,BEV,2012,,8595
France,Historical,EV stock,Cars,PHEV,2012,,697.1599731445312
France,Historical,EV stock,Cars,BEV,2013,,17376
France,Historical,EV stock,Cars,FCEV,2013,,1
France,Historical,EV stock,Cars,PHEV,2013,,1531.1600341796875
France,Historical,EV stock,Cars,BEV,2014,,27943
France,Historical,EV stock,Cars,FCEV,2014,,2
France,Historical,EV stock,Cars,PHEV,2014,,3599.159912109375
France,Historical,EV stock,Cars,BEV,2015,,45213
France,Historical,EV stock,Cars,FCEV,2015,,12
France,Historical,EV stock,Cars,PHEV,2015,,9276.16015625
France,Historical,EV stock,Cars,BEV,2016,,66971
France,Historical,EV stock,Cars,FCEV,2016,,16
France,Historical,EV stock,Cars,PHEV,2016,,17025.16015625
France,Historical,EV stock,Cars,BEV,2017,,92954
France,Historical,EV stock,Cars,FCEV,2017,,62
France,Historical,EV stock,Cars,PHEV,2017,,25819.16015625
France,Historical,EV stock,Cars,BEV,2018,,124009
France,Historical,EV stock,Cars,FCEV,2018,,72
France,Historical,EV stock,Cars,PHEV,2018,,41467.16015625
France,Historical,EV stock,Cars,BEV,2019,,166809
France,Historical,EV stock,Cars,FCEV,2019,,132
France,Historical,EV stock,Cars,PHEV,2019,,60020.16015625
France,Historical,EV stock,Cars,BEV,2020,,281603
France,Historical,EV stock,Cars,FCEV,2020,,375
France,Historical,EV stock,Cars,PHEV,2020,,134607.15625
Germany,Historical,EV stock,Cars,BEV,2010,,246
Germany,Historical,EV stock,Cars,FCEV,2010,,19
Germany,Historical,EV stock,Cars,BEV,2011,,1650
Germany,Historical,EV stock,Cars,FCEV,2011,,57
Germany,Historical,EV stock,Cars,PHEV,2011,,241
Germany,Historical,EV stock,Cars,BEV,2012,,3864
Germany,Historical,EV stock,Cars,FCEV,2012,,86
Germany,Historical,EV stock,Cars,PHEV,2012,,1398
Germany,Historical,EV stock,Cars,BEV,2013,,9175
Germany,Historical,EV stock,Cars,FCEV,2013,,109
Germany,Historical,EV stock,Cars,PHEV,2013,,3018
Germany,Historical,EV stock,Cars,BEV,2014,,17522
Germany,Historical,EV stock,Cars,FCEV,2014,,117
Germany,Historical,EV stock,Cars,PHEV,2014,,7408
Germany,Historical,EV stock,Cars,BEV,2015,,29603
Germany,Historical,EV stock,Cars,FCEV,2015,,180
Germany,Historical,EV stock,Cars,PHEV,2015,,18519
Germany,Historical,EV stock,Cars,BEV,2016,,40924.51953125
Germany,Historical,EV stock,Cars,FCEV,2016,,180
Germany,Historical,EV stock,Cars,PHEV,2016,,31809.48046875
Germany,Historical,EV stock,Cars,BEV,2017,,59087
Germany,Historical,EV stock,Cars,FCEV,2017,,191
Germany,Historical,EV stock,Cars,PHEV,2017,,50474
Germany,Historical,EV stock,Cars,BEV,2018,,95149
Germany,Historical,EV stock,Cars,FCEV,2018,,215
Germany,Historical,EV stock,Cars,PHEV,2018,,81916
Germany,Historical,EV stock,Cars,BEV,2019,,136617
Germany,Historical,EV stock,Cars,FCEV,2019,,504
Germany,Historical,EV stock,Cars,PHEV,2019,,102175
Germany,Historical,EV stock,Cars,BEV,2020,,330780
Germany,Historical,EV stock,Cars,FCEV,2020,,812
Germany,Historical,EV stock,Cars,PHEV,2020,,302644
Greece,Historical,EV stock,Cars,BEV,2013,,3
Greece,Historical,EV stock,Cars,BEV,2014,,42
Greece,Historical,EV stock,Cars,BEV,2015,,96
Greece,Historical,EV stock,Cars,PHEV,2015,,21
Greece,Historical,EV stock,Cars,BEV,2016,,137
Greece,Historical,EV stock,Cars,PHEV,2016,,76
Greece,Historical,EV stock,Cars,BEV,2017,,190
Greece,Historical,EV stock,Cars,PHEV,2017,,214
Greece,Historical,EV stock,Cars,BEV,2018,,278
Greece,Historical,EV stock,Cars,PHEV,2018,,425
Greece,Historical,EV stock,Cars,BEV,2019,,468
Greece,Historical,EV stock,Cars,PHEV,2019,,715
Greece,Historical,EV stock,Cars,BEV,2020,,1147
Greece,Historical,EV stock,Cars,PHEV,2020,,2167
Iceland,Historical,EV stock,Cars,BEV,2010,,14
Iceland,Historical,EV stock,Cars,FCEV,2010,,20
Iceland,Historical,EV stock,Cars,BEV,2011,,14
Iceland,Historical,EV stock,Cars,FCEV,2011,,20
Iceland,Historical,EV stock,Cars,BEV,2012,,31
Iceland,Historical,EV stock,Cars,FCEV,2012,,20
Iceland,Historical,EV stock,Cars,PHEV,2012,,9
Iceland,Historical,EV stock,Cars,BEV,2013,,111
